Name,Code,Number,Cycle,ISDCode,ISDName,DCode,DName,BCode,BName,GradeList,State,Zip,Lat,Lng,Rank,pp-av-m-em,zs-av-m-em,zsi-m-em,c-m-em,ci-m-em,gap-zs-m-em,gapi-zs-m-em,pp-av-r-em,zs-av-r-em,zsi-r-em,c-r-em,ci-r-em,gap-zs-r-em,gapi-zs-r-em,pp-av-s-em,zs-av-s-em,zsi-s-em,c-s-em,zsi-b1-s-em,gap-zs-s-em,gapi-zs-s-em,pp-av-t-em,zs-av-t-em,zsi-t-em,c-t-em,zsi-b1-t-em,gap-zs-t-em,gapi-zs-t-em,pp-av-w-em,zs-av-w-em,zsi-w-em,c-w-em,zsi-b1-w-em,gap-zs-w-em,gapi-zs-w-em
2,0,3,2013,73,Saginaw ISD,73040,Saginaw Township Community Schools,1626,Hemmeter Elementary School,"KG,1,2,3,4,5",MI,48638,43.435582,-84.00442,99,90.73729216,1.108957957,2.7289,0.48089172,1.56730947,-1.524364133,2.450600905,98.09672209,1.001773397,2.8814,0.562300319,1.934614922,-1.579351544,3.210602874,64.48794393,1.221576636,2.9855,0.2384,3.3374,-1.384488785,2.946774617,84.90339623,1.080209434,2.6,0.228,3.2921,-1.386454717,2.878771941,88.2327451,0.967260784,2.516,-0.0721,-0.5737,-1.581390196,2.448117933
3,0,7,2013,63,Oakland Schools,63150,Troy School District,6940,Bemis Elementary School,"KG-Part,1,2,3,4,5",MI,48084,42.570247,-83.181535,99,89.21593137,1.26529232,3.1005,0.503416856,1.674520973,-1.722429575,1.377075473,93.19176661,0.80515235,2.3319,0.535962877,1.747426276,-1.902989789,1.077193215,47.82391304,0.949789855,2.3294,0.1179,1.7177,-1.768308696,1.053237811,64.82793103,0.817393793,1.9797,0.0251,0.4701,-2.011224828,-0.231084259,90.44681529,1.059184076,2.7515,0.0806,0.7127,-1.748882166,1.507680148
7,0,25,2013,63,Oakland Schools,63260,Rochester Community School District,7350,Musson Elementary School,"KG-Part,1,2,3,4,5",MI,48306,42.709901,-83.203719,99,84.6767387,1.066173084,2.6272,0.487046632,1.596604627,-1.849595285,0.687830434,91.16235756,0.720044204,2.094,0.519480519,1.630280878,-2.00006778,0.437259196,49.20714286,0.920642857,2.2591,0.0037,0.1828,-1.814557143,0.825075763,65.87198413,0.892046032,2.1559,0.1207,1.7997,-1.72223254,1.207403984,69.62955556,0.491901481,1.2984,-0.1979,-1.6335,-2.041168889,-0.133458107
8,0,26,2013,41,Kent ISD,41110,Forest Hills Public Schools,4175,Thornapple Elementary School,"RetK-Part,KG-Part,1,2,3,4",MI,49546,42.937252,-85.497801,99,79.34879346,0.777379346,1.9408,0.471698113,1.523551229,-1.710348466,1.442555738,92.22920245,0.717497751,2.0869,0.6,2.202558635,-1.828650102,1.567237296,30.8564,0.587508,1.455,-0.0056,0.0578,-1.903104,0.388238777,-99,-99,-99,-99,-99,-99,-99,74.68417722,0.663596203,1.7382,-0.01,-0.0505,-1.763712658,1.424409555
10,0,29,2013,82,Wayne RESA,82055,Grosse Pointe Public Schools,3007,Richard Elementary School,"KG,1,2,3,4,5",MI,48236,42.395037,-82.904915,98,74.35322878,0.687810517,1.7279,0.404761905,1.20495909,-1.901734686,0.405232052,85.9748155,0.508843727,1.5038,0.49047619,1.424137814,-1.911774908,1.019282085,34.24616438,0.644661644,1.593,0.0949,1.4086,-1.897353425,0.41660866,67.13104895,0.936893007,2.2617,0.0726,1.1307,-1.815016084,0.74556454,78.19263158,0.683405263,1.7889,-0.0603,-0.4743,-1.746921053,1.518691451
11,0,30,2013,63,Oakland Schools,63050,Berkley School District,464,Burton Elementary School,"KG,KG-Part,1,2,3,4,5",MI,48070,42.484202,-83.174927,98,79.23332859,0.791077525,1.9733,0.478431373,1.555599108,-1.79279303,0.995701735,92.03256046,0.649433855,1.8967,0.474409449,1.309946331,-1.820325747,1.622111096,26.55011299,0.471233333,1.1744,-0.0163,-0.086,-1.838515254,0.706880838,66.88602649,0.830203974,2.0099,-0.0411,-0.4506,-1.549842384,2.065493359,71.27132597,0.47169337,1.2467,0.0281,0.2704,-1.771014365,1.383411765
13,0,32,2013,82,Wayne RESA,82390,Northville Public Schools,83,Amerman Elementary School,"KG-Part,1,2,3,4,5",MI,48167,42.440035,-83.484103,98,69.24758577,0.788097332,1.9662,0.430321593,1.326613958,-2.256126429,-1.515590404,90.08482846,0.749565565,2.1765,0.544478528,1.807949734,-2.075233545,-0.058230357,61.53863248,1.15588547,2.8269,-0.0034,0.0874,-1.780537607,0.992907712,63.90377593,0.793020332,1.9222,0.0085,0.2392,-1.919468465,0.225642286,82.68424581,0.911556425,2.3734,-0.0328,-0.2426,-1.878226257,0.781435952
15,0,34,2013,47,Livingston ESA,47010,Brighton Area Schools,6872,Hornung Elementary School,"KG,KG-Part,1,2,3,4",MI,48116,42.533374,-83.813004,98,57.80108374,0.33143399,0.8808,0.536340852,1.831227283,-1.675868966,1.629436501,88.69193443,0.48192918,1.4285,0.41959799,0.920383724,-1.864703934,1.329571955,20.18362385,0.492145413,1.2248,0.0422,0.7003,-1.669680734,1.53980891,-99,-99,-99,-99,-99,-99,-99,75.64839378,0.616453886,1.6175,0.1498,1.2957,-1.837233679,1.011602028
16,0,36,2013,82,Wayne RESA,82055,Grosse Pointe Public Schools,2172,Lewis Maire Elementary School,"KG,1,2,3,4,5",MI,48230,42.391288,-82.918642,98,77.53237885,0.842882379,2.0965,0.433234421,1.340477969,-1.894012335,0.447087616,90.74629956,0.661215419,1.9296,0.526627219,1.681074761,-1.941747577,0.821703513,35.65069565,0.69848087,1.7229,-0.039,-0.3911,-1.879510435,0.50463525,62.28017544,0.764233333,1.8542,-0.0335,-0.3449,-2.039100877,-0.369840105,81.2,0.850236752,2.2163,0.0859,0.7574,-1.854095726,0.916924613
18,0,40,2013,81,Washtenaw ISD,81010,Ann Arbor Public Schools,2303,Bach Elementary School,"KG-Part,1,2,3,4,5",MI,48103,42.276418,-83.755536,98,80.13450893,0.853149107,2.1209,0.612121212,2.191914384,-2.016258929,-0.215495548,89.31120267,0.675254343,1.9688,0.577160494,2.040230944,-2.09052294,-0.159017402,49.5673913,0.854063478,2.0984,0.0698,1.0712,-2.004393913,-0.111464791,63.33,0.82535,1.9985,0.1029,1.5522,-2.0952,-0.649079144,75.80677419,0.626029839,1.642,-0.1047,-0.8484,-2.100335484,-0.465668073
